cf,denominazione,url_trasparenza,categoria,raggiungibile,errore,disposizioni_generali,organizzazione,consulenti,personale,selezione_personale,bandi_contratti,sovvenzioni,bilanci,beni_immobili,controlli,pagamenti,accesso_civico,privacy,categorie_trovate,score
00099020059,ACQUEDOTTO DELLA PIANA S.P.A.                                    SIGLABILE: A. P.  S.P.A.,https://acquedottopiana.portaletrasparenza.net/it,controllo_pubblico,True,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,1,7.7
01429910183,A.S.M. VOGHERA S.P.A.,https://www.asmvoghera.it/amministrazione-trasparente,controllo_pubblico,False,,,,,,,,,,,,,,,0,0
05175700482,ACQUE S.P.A.,https://www.acque.net/acque-trasparente/,controllo_pubblico,True,,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,11,84.6
05877611003,ACQUIRENTE UNICO S.P.A.                                          IN FORMA ABBREVIATA 'AU S.P.A.',https://www.acquirenteunico.it/societa/amministrazione-trasparente,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,12,92.3
01707020515,ACI AREZZO PROMOSERVICE S.R.L.,https://arezzo.aci.it/amministrazione-trasparente,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,13,100.0
00062810320,ACQUEDOTTO DEL CARSO S.P.A. - KRASKI VODOVOD D.D.,https://www.ackv.it/amministrazione-trasparente,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,NO,SI,11,84.6
01522200763,ACQUEDOTTO LUCANO - S.P.A.,https://www.acquedottolucano.it/societa-trasparente,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,13,100.0
01522110673,AG.EN.A. SOCIETA' A RESPONSABILITA' LIMITATA,società trasparente,controllo_pubblico,False,unknown url type: '/societ%C3%A0%20trasparente',,,,,,,,,,,,,,0,0
02279540120,"'AZIENDA MULTISERVIZI COMUNALI S.P.A.',  IN BREVE 'AMSC SPA'",https://www.amsc.it/altri-contenuti-trasparenza/,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,NO,SI,SI,11,84.6
00073940058,ACQUEDOTTO VALTIGLIONE S.P.A. SIGLABILE A.V. S.P.A.,https://www.acquedottovaltiglione.it/societa-trasparente/,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,13,100.0
02780831208,ADOPERA PATRIMONIO E INVESTIMENTI CASALECCHIO DI RENO S.R.L.,https://www.adoperasrl.it/trasparenza.php,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,13,100.0
02153150350,AGAC INFRASTRUTTURE S.P.A.,società trasparente,controllo_pubblico,False,unknown url type: '/societ%C3%A0%20trasparente',,,,,,,,,,,,,,0,0
13476050151,AEMME LINEA DISTRIBUZIONE S.R.L.,https://www.aemmelineadistribuzione.it/amministrazione-trasparente/disposizioni-generali,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,NO,SI,11,84.6
08670661001,AEQUA ROMA S.P.A.,https://aequaroma.portaleamministrazionetrasparente.it/,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,13,100.0
01936350972,ACICLUBPRATO S.R.L.,https://www.prato.aci.it/amministrazione-trasparente,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,13,100.0
05678721001,AGENZIA NAZIONALE PER L'ATTRAZIONE DEGLI INVESTIMENTI E LO       SVILUPPO D'IMPRESA S.P.A.,https://www.invitalia.it/amministrazione-trasparente,controllo_pubblico,True,,SI,SI,NO,SI,NO,SI,SI,SI,SI,SI,NO,SI,SI,10,76.9
02259820682,ADRIATICA RISORSE S.P.A.,https://www.adriaticarisorse.it/amministrazione-trasparente,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,12,92.3
02910070164,AGENZIA PER LO SVILUPPO E LA PROMOZIONE TURISTICA DELLA PROVINCIADI BERGAMO SOCIETA' CONSORTILE A RESPONSABILITA' LIMITATA,http://www.visitbergamo.net/amministrazione-trasparente,controllo_pubblico,False,,,,,,,,,,,,,,,0,0
81000070243,ACQUE DEL CHIAMPO S.P.A. SOCIETA' BENEFIT,https://www.acquedelchiampospa.it/amministrazione/amministrazione-trasparente/,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,12,92.3
04525451219,AGENZIA LOCALE DI SVILUPPO DEI COMUNI DELL'AREA NOLANA SOCIETA' CONSORTILE PER AZIONI,https://www.agenziaareanolana.it/amministrazione-trasparente,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,NO,SI,11,84.6
00347000721,ACQUEDOTTO PUGLIESE S.P.A.,https://www.aqp.it/societa-trasparente,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,12,92.3
01783570094,ACQUE PUBBLICHE SAVONESI SCPA,https://www.aps.sv.it/amministrazione-trasparente,controllo_pubblico,False,,,,,,,,,,,,,,,0,0
01033440320,ADRIAFER S.R.L.,https://adriafer.com/amministrazione-trasparente,controllo_pubblico,False,,,,,,,,,,,,,,,0,0
01378090326,ADRIAFER RAIL SERVICES S.R.L.,https://adriaferrailservices.com/trasparenza/,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,13,100.0
01817930488,ALATOSCANA - SOCIETA' PER AZIONI,amministrazione trasparente,controllo_pubblico,False,unknown url type: '/amministrazione%20trasparente',,,,,,,,,,,,,,0,0
02276330590,"AGENZIA PER I SERVIZI FORMATIVI E PER IL LAVORO DELLA PROVINCIA  DI LATINA SOCIETA' A RESPONSABILITA' LIMITATA, PIU' BREVEMENTE INDICATA 'LATINA FORMAZIONE E LAVORO S.R.L.'",https://www.latinaformazione.it/amministrazione-trasparente/,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,12,92.3
10322390963,AGENZIA ITALIANA PER L'INTERNAZIONALIZZAZIONE -                  PROMOS ITALIA S.C.R.L.,https://promositalia.camcom.it/amministrazione-trasparente,controllo_pubblico,True,,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,1,7.7
00160360301,ACQUEDOTTO POIANA S.P.A.,https://www.poiana.it/trasparenza,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,12,92.3
03597460652,AGENZIA PER LO SVILUPPO DEL SISTEMA TERRITORIALE DELLA VALLE DEL SARNO S.P.A.,https://www.agenziavalledelsarno.com/amministrazione-trasparente-2025-2/,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,NO,SI,11,84.6
02514000617,AGRORINASCE AGENZIA PER L'INNOVAZIONE LO SVILUPPO E LA SICUREZZA DEL TERRITORIO S.C.R.L.,https://www.agrorinasce.org/trasparenza/determine-2017,controllo_pubblico,True,,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,SI,2,15.4
16812251003,AGRI-CAT S.R.L.,https://www.fondoagricat.it/amministrazione-trasparente,controllo_pubblico,True,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0,0.0
07233190581,AGE-CONTROL SOCIETA' PER AZIONI - AGENZIA PUBBLICA PER I CONTROLLI IN AGRICOLTURA,https://www.agecontrol.it/societa-trasparente-link,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,12,92.3
07019070015,AFC TORINO S.P.A.,https://www.cimiteritorino.it/amministrazione-trasparente,controllo_pubblico,False,,,,,,,,,,,,,,,0,0
04338490404,ALEA AMBIENTE S.P.A.,https://www.alea-ambiente.it/amministrazione-trasparente/,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,12,92.3
02212870121,AGESP S.P.A.,https://agespas.agesp.it/societa-trasparente/,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,NO,SI,SI,11,84.6
02977850649,AIR CAMPANIA S.P.A.,https://aircampania.it/societa-trasparente/,controllo_pubblico,True,,NO,SI,SI,NO,SI,SI,NO,NO,SI,NO,SI,NO,SI,7,53.8
01613650819,AIRGEST S.P.A.,https://www.airgest.it/societa-trasparente,controllo_pubblico,True,,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,NO,NO,SI,3,23.1
12908910156,AGENZIA MOBILITA' AMBIENTE E TERRITORIO S.R.L.,https://trasparenza.amat-mi.it/archivio105_procedure-dal-01012024_0_215496_0_1.html,controllo_pubblico,True,,SI,NO,NO,SI,NO,SI,NO,NO,NO,NO,NO,SI,SI,5,38.5
04855090488,ALIA SERVIZI AMBIENTALI S.P.A.,https://plures.aliaserviziambientali.it/it-it/amministrazione-trasparente/,controllo_pubblico,False,,,,,,,,,,,,,,,0,0
92000020245,ALTO VICENTINO AMBIENTE S.R.L.,trasparenza totale,controllo_pubblico,False,unknown url type: '/trasparenza%20totale',,,,,,,,,,,,,,0,0
02143780399,AGENZIA MOBILITA' ROMAGNOLA - A.M.R. S.R.L. CONSORTILE,https://trasparenza.amr-romagna.it/amm-trasparente/attivita-propedeutiche-gara-tpl-romagna/,controllo_pubblico,True,,NO,NO,NO,NO,NO,SI,NO,NO,SI,NO,NO,NO,SI,3,23.1
02660800042,ALPI ACQUE SPA,https://www.alpiacque.it/societa-trasparente,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,12,92.3
03490310715,AM SERVICE S.R.L.,http://www.amservicefoggia.it/amministrazione-trasparente,controllo_pubblico,True,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0,0.0
10811500155,ALTO MILANESE GESTIONI AVANZATE S.P.A. PER ACRONIMO              'AMGA LEGNANO S.P.A.',https://www.amga.it/amministrazione-trasparente/disposizioni-generali,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,NO,SI,11,84.6
05784341215,AGENZIA DI SVILUPPO DELL'AREA METROPOLITANA DI NAPOLI SPA,https://armenasviluppo.it/amministrazione-trasparente,controllo_pubblico,False,,,,,,,,,,,,,,,0,0
01739090221,ALTOGARDA PARCHEGGI E MOBILITA' S.R.L.,https://www.altogarda-parcheggi.it/amministrazione-trasparente,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,12,92.3
02319580342,ADE S.P.A.,https://www.adespa.it/servizi-per-le-imprese/societa-trasparente/,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,13,100.0
04797180827,AMAT PALERMO S.P.A.,https://www.amat.pa.it/societa_trasparente/,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,13,100.0
01553090091,ALBISOLA SERVIZI S.R.L.,https://www.albisolaservizi.it/societa-trasparente/,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,NO,SI,SI,SI,SI,SI,SI,11,84.6
01581060223,ALTO GARDA SERVIZI S.P.A. IN SIGLA A.G.S. S.P.A.,https://www.altogardaservizi.com/societa-trasparente/,controllo_pubblico,True,,NO,SI,NO,SI,NO,SI,NO,SI,SI,NO,NO,NO,SI,6,46.2
91018080688,AMBIENTE S.P.A.,https://ambientespa.portaletrasparenza.net/,controllo_pubblico,True,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,1,7.7
05215080721,AGENZIA PER L'OCCUPAZIONE E LO SVILUPPO DELL'AREA NORD BARESE-OFANTINA SOCIETA' CONSORTILE A RESPONSABILITA' LIMITATA,https://www.pattonordbareseofantino.it/amministrazione-trasparente/bilanci/,controllo_pubblico,True,,SI,SI,NO,NO,NO,SI,NO,SI,SI,NO,NO,NO,NO,5,38.5
00399050087,AMAIE S.P.A.,https://amaiespa.contrasparenza.it/trasparenza/,controllo_pubblico,True,,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,1,7.7
05656701009,ALES - ARTE LAVORO E SERVIZI S.P.A.,https://ales-spa.portaletrasparenza.net/,controllo_pubblico,True,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,1,7.7
04038770287,AGENZIA PER LO SVILUPPO E L'INNOVAZIONE ASI SRL,https://www.patrasparente.it/trasparenza.php?pa=75,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,12,92.3
02453870061,AMAG AMBIENTE S.P.A.,https://www.amagambiente.it/amministrazione-trasparente/,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,13,100.0
02361300714,AMGAS SPA,società trasparente,controllo_pubblico,False,unknown url type: '/societ%C3%A0%20trasparente',,,,,,,,,,,,,,0,0
02525300063,AMAG RETI IDRICHE S.P.A.,https://sogeriacqua.it/societa-trasparente/,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,13,100.0
05269961214,ANACAPRI SERVIZI S.R.L.,https://www.anacapriservizi.it/./etrasparenza/css/newlg/menu-popup.css,controllo_pubblico,True,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0,0.0
00080810641,ALTO CALORE SERVIZI SPA,https://www.altocalore.it/societa-trasparente/,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,12,92.3
02278540428,ANCONA ENTRATE S.R.L.,https://anconaentrate.it/./etrasparenza/css/jquery-ui-1.11.4.custom.css,controllo_pubblico,True,,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,1,7.7
02013850603,AMBIENTE E SALUTE SRL,https://ambientesora.it/amministrazione-trasparente,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,13,100.0
07240690631,ANEA S.R.L. CON SOCIO UNICO,https://www.anea.eu/trasparenza/00_società_trasparente.html,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,13,100.0
01577270695,ANXANUM MULTISERVIZI INTERCOMUNALI SPA,https://www.anxam.it/amministrazione-trasparente/,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,NO,NO,SI,10,76.9
05572800729,ANDRIA MULTISERVICE S.P.A.,societ&agrave; trasparente,controllo_pubblico,False,unknown url type: '/societ&agrave;%20trasparente',,,,,,,,,,,,,,0,0
01434200935,AMBIENTE SERVIZI S.P.A.,https://www.ambienteservizi.net/azienda/societa-trasparente,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,NO,SI,11,84.6
02964090043,ACSR - S.P.A.,https://www.acsr.it/amministrazione-trasparente,controllo_pubblico,False,,,,,,,,,,,,,,,0,0
02524710064,AMAG RETI GAS S.P.A.,http://www.amagretigas.it/trasparenza/bandi-di-gara-e-contratti/,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,13,100.0
03730240409,ANTHEA S.R.L.,https://societa.anthearimini.it/societa-trasparente/bilanci/bilanci-esercizio-anthea/,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,NO,SI,SI,SI,NO,NO,SI,9,69.2
03292680273,APV INVESTIMENTI S.P.A.,https://www.apvinvestimenti.it/societa-trasparente/,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,SI,12,92.3
01938950514,AREZZO MULTISERVIZI S.R.L.,https://www.arezzomultiservizi.it/trasparenza/?idcat=11,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,13,100.0
01886791209,APT SERVIZI SOCIETA' A RESPONSABILITA' LIMITATA,https://aptservizi.portaletrasparenza.net/,controllo_pubblico,True,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,1,7.7
02280810348,AREA STAZIONE - SOCIETA' DI TRASFORMAZIONE URBANA - S.P.A. IN    LIQUIDAZIONE,https://www.sttholding.com/ammnistrazione-trasparente.html,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,12,92.3
01422820421,ANCONAMBIENTE S.P.A.,https://anconambiente.portaletrasparenza.net,controllo_pubblico,True,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,1,7.7
03704200652,ARECHI MULTISERVICE S.P.A.,https://www.arechimultiservice.it/wp-content/plugins/amministrazione-trasparente/includes/css/gutenberg-page-widget.css?ver=1773055026,controllo_pubblico,True,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0,0.0
00214640237,"AMT3 AZIENDA MOBILITA' TRASPORTI, TURISMO E TERRITORIO S.P.A.",https://www.amt.it/amministrazione-trasparente,controllo_pubblico,False,,,,,,,,,,,,,,,0,0
07468440966,AREXPO S.P.A.,https://www.principiaspa.com/societa-trasparente/,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,12,92.3
01052230461,ASCIT SERVIZI AMBIENTALI SOCIETA' PER AZIONI,https://ascit.portaletrasparenza.net/,controllo_pubblico,True,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,1,7.7
01474680418,ASET S.P.A.,https://www.asetservizi.it/amministrazione-trasparente,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,12,92.3
04163490263,ALTO TREVIGIANO SERVIZI S.P.A IN SIGLA 'A.T.S. S.P.A.',https://www.altotrevigianoservizi.it/amministrazione-trasparente,controllo_pubblico,False,,,,,,,,,,,,,,,0,0
01964100380,AREA IMPIANTI S.P.A.,http://www.areaimpianti.net/amministrazione-trasparente,controllo_pubblico,False,,,,,,,,,,,,,,,0,0
96029620067,ALEXALA - AGENZIA DI ACCOGLIENZA E PROMOZIONE TURISTICA LOCALE   DELLA PROVINCIA DI ALESSANDRIA SOCIETA' CONSORTILE A RESPONSABILITA' LIMITATA,https://www.alexala.it/amministrazione-trasparente/,controllo_pubblico,False,,,,,,,,,,,,,,,0,0
01220960866,AMBIENTE E TECNOLOGIA S.R.L.,https://www.ambientetecnologia.it/amministrazione-trasparente,controllo_pubblico,False,,,,,,,,,,,,,,,0,0
05166621218,ASMENET SOC. CONS. A R. L.,società trasparente,controllo_pubblico,False,unknown url type: '/societ%C3%A0%20trasparente',,,,,,,,,,,,,,0,0
02729450797,ASMENET CALABRIA SOC. CONS. A R.L.,società trasparente,controllo_pubblico,False,unknown url type: '/societ%C3%A0%20trasparente',,,,,,,,,,,,,,0,0
01037490297,ASM ROVIGO S.P.A.,https://www.asmrovigo.it/societa-trasparente/,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,NO,SI,11,84.6
12236141003,ASMEL CONSORTILE SOC. CONS. A R.L.,http://trasparenza.asmecomm.it/,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,NO,NO,10,76.9
04797170828,AMG ENERGIA S.P.A.,https://www.amgenergia.it/societatrasparente/,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,NO,SI,11,84.6
02150990428,ANCONA SERVIZI S.P.A.,https://www.anconaservizi.it/amministrazione-trasparente,controllo_pubblico,False,,,,,,,,,,,,,,,0,0
01471630184,ASM VIGEVANO E LOMELLINA SPA,https://www.asmvigevano.it/societa-trasparente/,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,NO,SI,11,84.6
00828601203,AREA BLU S.P.A.,https://areablu.trasparenza-valutazione-merito.it/web/trasparenza/dettaglio-trasparenza?p_p_id=jcitygovmenutrasversaleleftcolumn_war_jcitygovalbiportlet&amp;p_p_lifecycle=0&amp;p_p_state=normal&amp;p_p_mode=view&amp;p_p_col_id=column-2&amp;p_p_col_count=1&amp;_jcitygovmenutrasversaleleftcolumn_war_jcitygovalbiportlet_current-page-parent=34702&amp;_jcitygovmenutrasversaleleftcolumn_war_jcitygovalbiportlet_current-page=34703,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,12,92.3
02660190139,ASF AUTOLINEE - S.R.L.,https://asfautolinee.portaletrasparenza.net/,controllo_pubblico,True,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,1,7.7
01501460438,ASTEA S.P.A.,https://www.asteaspa.it/amministrazione-trasparente/,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,13,100.0
00660130451,ASMIU S.R.L.,https://www.asmiu.it/societa-trasparente/,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,13,100.0
03167510365,AS RETIGAS S.R.L.,https://www.asretigas.it/societa-trasparente/,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,12,92.3
01435010192,ASPM SERVIZI AMBIENTALI S.R.L.,https://aspmserviziambientali.trasparenza.amministrazioniweb.it/,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,NO,11,84.6
01222260117,ATC ESERCIZIO SPA,https://www.atcesercizio.it/amministrazione-trasparente/,controllo_pubblico,True,,NO,SI,NO,SI,NO,SI,NO,SI,SI,NO,NO,NO,SI,6,46.2
02071790204,ASTER AGENZIA SERVIZI AL TERRITORIO S.R.L.,https://www.aster.mn.it/amministrazione-trasparente,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,12,92.3
02797220163,ATENEO BERGAMO - S.P.A.,https://www.unibg.it/ateneo-bergamo-spa/ateneo-bergamo-spa/societa-trasparente/bandi-gara,controllo_pubblico,False,,,,,,,,,,,,,,,0,0
94020500032,ASSA S.P.A.,https://assanovara.trasparenzarifiuti.it/,controllo_pubblico,True,,NO,SI,NO,NO,NO,SI,NO,SI,SI,NO,SI,NO,NO,5,38.5
02391080344,AUTHORITY - SOCIETA' DI TRASFORMAZIONE URBANA S.P.A.             IN LIQUIDAZIONE,https://www.sttholding.com/ammnistrazione-trasparente.html,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,12,92.3
03973800877,ASEC TRADE S.R.L.,https://www.asectrade.it/amministrazione-trasparente,controllo_pubblico,False,,,,,,,,,,,,,,,0,0
01423690419,ASPES S.P.A.,https://www.aspes.it/societa-trasparente/,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,13,100.0
01781060510,AREZZO CASA S.P.A.,https://www.arezzocasa.net/societa_trasparente/,controllo_pubblico,True,,NO,SI,NO,NO,NO,NO,NO,NO,SI,NO,SI,NO,SI,4,30.8
02485010165,ATB AGENZIA DELLA MOBILITA' S.P.A.                               CON SIGLA                                                                       ATB MOBILITA' S.P.A.,https://www.atb.bergamo.it/il-gruppo/societa-trasparente,controllo_pubblico,True,,NO,SI,NO,NO,SI,SI,NO,SI,NO,SI,NO,NO,SI,6,46.2
00188590939,ATAP SPA,https://www.atap.pn.it/amministrazione-trasparente,controllo_pubblico,True,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0,0.0
92015260141,AZIENDA DI PROMOZIONE E SVILUPPO TURISTICO DI LIVIGNO S.R.L.     (IN ACRONIMO 'A.P.T. S.R.L.'),https://www.livigno.eu/amministrazione-trasparente,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,12,92.3
01349510436,ATAC CIVITANOVA SPA,https://www.atac-civitanova.it/azienda/amministrazione-trasparente/?a=bilanci,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,SI,12,92.3
03159730641,AZIENDA COMUNALE MULTISERVIZI S.R.L.,https://www.acmatripalda.it/amministrazione-trasparente/,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,12,92.3
84002020273,ATVO S.P.A.,https://www.atvo.it/amministrazione-trasparente,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,NO,SI,11,84.6
01221700881,ATO RAGUSA AMBIENTE S.P.A. SOCIETA' IN LIQUIDAZIONE,https://www.atoragusambiente.it/amministrazione-trasparente,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,NO,11,84.6
02229310186,ASMia S.R.L.,https://www.asmortara.eu/amministrazione-trasparente,controllo_pubblico,False,,,,,,,,,,,,,,,0,0
02478220185,ASMARE S.R.L.,https://www.asmortara.eu/amministrazione-trasparente,controllo_pubblico,False,,,,,,,,,,,,,,,0,0
80019800236,AZIENDA GARDESANA SERVIZI S.P.A. IN BREVE A.G.S. S.P.A.,https://www.ags.vr.it/societa-trasparente,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,13,100.0
01812230223,AZIENDA MULTISERVIZI AMBIENTE S.P.A.,https://amambiente.portaletrasparenza.net/it/trasparenza/selezione-del-personale/reclutamento-del-personale/bandi-e-avvisi-di-selezione-per-i-quali-e-possibile-presentare-domanda-di-partecipazione.html,controllo_pubblico,True,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,1,7.7
00791350150,AZIENDA FARMACIE COMUNALI LODI S.R.L.,https://amministrazionetrasparente.afclodi.it/selezione-del-personale/reclutamento-del-personale/,controllo_pubblico,True,,NO,NO,NO,SI,SI,NO,NO,NO,SI,NO,NO,NO,SI,4,30.8
01579450220,AZIENDA INTERCOMUNALE ROTALIANA SOCIETA' PER AZIONI - SOCIETA'   BENEFIT IN FORMA ABBREVIATA 'AIR S.P.A. - SOCIETA' BENEFIT',https://www.airspa.it/societa-trasparente,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,13,100.0
01219810445,AZIENDA MULTI SERVIZI S.P.A. (IN SIGLA A.M.S. S.P.A.),https://www.sbt.it/wp-content/plugins/amministrazione-trasparente/includes/css/gutenberg-page-widget.css?ver=1782106442,controllo_pubblico,True,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0,0.0
01180670091,AZIENDA MULTISERVIZI ANDORA S.R.L. SIGLABILE A.M.A. S.R.L.,https://www.amandora.it/amministrazione-trasparente/,controllo_pubblico,True,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,13,100.0
01413790666,AZIENDA FARMACEUTICA MUNICIPALIZZATA S.P.A. ABBREVIATO A.F.M.    S.P.A.,amministrazione trasparente,controllo_pubblico,False,unknown url type: '/amministrazione%20trasparente',,,,,,,,,,,,,,0,0
01663680856,ATO AMBIENTE CL2 S.P.A.,https://trasparenza.atoambiente-cl2.it/,controllo_pubblico,True,,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,12,92.3
00115370553,AZIENDA MULTISERVIZI AMERINO-NARNESE-A.M.A.N. S.C.P.A.,https://amanscpa.portaletrasparenza.net/,controllo_pubblico,True,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,1,7.7
